state_index,state_key,stage,open_count,bonus_status,upper_total,upper_pace_gap,yahtzee_status,ones,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,small_straight,large_straight,yahtzee,chance
43,55247,Opening,10,Dead,6,-27,Zeroed,OPEN,OPEN,OPEN,OPEN,0,6,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
44,55255,Opening,10,Dead,6,-24,Zeroed,OPEN,OPEN,OPEN,0,OPEN,6,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
45,55403,Midgame,7,Under Pressure,6,-18,Open,OPEN,OPEN,6,OPEN,0,OPEN,OPEN,26,25,0,40,OPEN,OPEN
46,69366,Midgame,9,Under Pressure,8,-7,Open,0,OPEN,OPEN,8,OPEN,OPEN,OPEN,OPEN,0,OPEN,OPEN,OPEN,20
47,72137,Midgame,7,Dead,8,-40,Open,OPEN,2,6,OPEN,0,0,OPEN,OPEN,OPEN,30,0,OPEN,OPEN
48,77564,Midgame,9,On Pace,9,0,Open,3,6,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,25,OPEN,OPEN,OPEN,23
49,77628,Midgame,8,On Pace,9,0,Open,3,6,OPEN,OPEN,OPEN,OPEN,18,0,OPEN,OPEN,OPEN,OPEN,21
50,78006,Midgame,6,Under Pressure,9,-6,Zeroed,1,OPEN,OPEN,8,OPEN,OPEN,24,OPEN,0,0,40,0,OPEN
51,80380,Midgame,9,On Pace,9,0,Open,3,6,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,30,40,OPEN,OPEN
52,83794,Midgame,6,Dead,10,-32,Zeroed,3,OPEN,3,4,OPEN,0,OPEN,28,OPEN,OPEN,OPEN,0,29
53,83968,True Endgame,1,Dead,10,-53,Open,2,8,0,0,0,0,23,0,25,0,40,OPEN,23
54,84266,Late Game,5,Under Pressure,10,-17,Open,0,OPEN,0,OPEN,10,OPEN,15,0,OPEN,0,0,OPEN,22
55,90104,Opening,10,Under Pressure,10,-8,Open,0,4,6,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
56,93944,Midgame,8,Under Pressure,11,-7,Open,0,2,9,OPEN,OPEN,OPEN,OPEN,OPEN,25,OPEN,OPEN,OPEN,23
57,99487,Midgame,7,Under Pressure,12,-6,Zeroed,OPEN,OPEN,OPEN,OPEN,OPEN,12,0,OPEN,0,30,OPEN,0,20
58,100440,Late Game,4,Dead,12,-24,Open,0,6,0,OPEN,OPEN,6,OPEN,18,0,0,0,OPEN,25
59,102479,Midgame,6,Dead,12,-21,Zeroed,OPEN,OPEN,OPEN,OPEN,0,12,OPEN,18,0,30,0,0,OPEN
60,103577,Midgame,6,Dead,12,-21,Zeroed,OPEN,6,6,OPEN,OPEN,0,20,OPEN,0,0,OPEN,0,OPEN
61,104425,Midgame,9,Under Pressure,12,-18,Zeroed,OPEN,2,0,OPEN,10,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
62,104919,Midgame,9,Under Pressure,12,-18,Open,OPEN,OPEN,OPEN,0,OPEN,12,OPEN,OPEN,OPEN,0,0,OPEN,OPEN
63,106152,Midgame,7,Dead,12,-21,Open,3,4,0,OPEN,5,OPEN,25,OPEN,25,OPEN,OPEN,OPEN,OPEN
64,106167,Opening,10,On Pace,12,0,Open,OPEN,OPEN,OPEN,12,OPEN,OPEN,21,OPEN,25,OPEN,OPEN,OPEN,OPEN
65,106230,Opening,10,On Pace,12,-3,Open,0,OPEN,OPEN,12,OPEN,OPEN,OPEN,OPEN,25,OPEN,OPEN,OPEN,OPEN
66,108544,True Endgame,1,Dead,13,-50,Open,0,6,3,4,0,0,0,0,25,0,40,OPEN,22
67,108974,Midgame,7,Under Pressure,13,-5,Open,3,OPEN,OPEN,OPEN,10,OPEN,20,OPEN,OPEN,30,0,OPEN,29
68,112632,Midgame,9,Under Pressure,13,-5,Zeroed,3,4,6,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
69,114425,Opening,10,On Pace,13,-2,Open,OPEN,4,9,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN,OPEN,OPEN,OPEN
70,128111,Midgame,8,On Pace,15,0,Zeroed,OPEN,OPEN,OPEN,OPEN,15,OPEN,OPEN,20,25,30,OPEN,0,OPEN
71,129019,Opening,11,Ahead,15,6,Zeroed,OPEN,OPEN,15,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
72,129166,Midgame,6,Dead,15,-21,Open,4,OPEN,OPEN,OPEN,5,6,0,OPEN,25,30,0,OPEN,OPEN
73,130553,Opening,10,On Pace,15,0,Open,OPEN,6,9,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,30,OPEN,OPEN,OPEN
74,130936,Midgame,9,On Pace,15,-3,Open,3,6,6,OPEN,OPEN,OPEN,OPEN,0,OPEN,OPEN,OPEN,OPEN,OPEN
75,131100,Late Game,3,Under Pressure,16,-11,Zeroed,4,6,OPEN,OPEN,OPEN,6,28,0,0,0,40,0,25
76,131126,Late Game,4,On Pace,16,1,Zeroed,4,OPEN,OPEN,12,OPEN,OPEN,0,24,0,0,40,0,29
77,133162,Late Game,4,Under Pressure,16,-11,Open,2,OPEN,9,OPEN,5,OPEN,0,0,25,30,0,OPEN,22
78,134900,Midgame,8,Under Pressure,16,-5,Open,0,4,OPEN,12,OPEN,OPEN,OPEN,OPEN,25,OPEN,OPEN,OPEN,24
79,137204,Midgame,9,Under Pressure,16,-5,Zeroed,0,4,OPEN,12,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
80,138767,Midgame,8,Under Pressure,16,-17,Open,OPEN,OPEN,OPEN,OPEN,10,6,27,22,25,OPEN,OPEN,OPEN,OPEN
81,141328,True Endgame,2,Dead,17,-31,Open,1,10,6,0,OPEN,0,24,0,25,30,0,OPEN,12
82,141624,Late Game,5,On Pace,17,-1,Open,1,4,12,OPEN,OPEN,OPEN,23,26,OPEN,0,0,OPEN,18
83,143342,Opening,10,On Pace,17,-1,Open,2,OPEN,OPEN,OPEN,15,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,22
84,147444,Opening,10,On Pace,17,-4,Open,3,6,OPEN,8,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
85,150218,Midgame,6,Dead,18,-27,Open,4,OPEN,9,OPEN,5,0,OPEN,OPEN,25,OPEN,0,OPEN,17
86,151527,Opening,10,Under Pressure,18,-9,Open,OPEN,OPEN,OPEN,8,10,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,22
87,151544,Midgame,9,On Pace,18,0,Open,3,6,9,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,21
88,154104,Midgame,8,On Pace,18,0,Open,3,6,9,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,30,40,OPEN,OPEN
89,154335,Opening,10,On Pace,18,0,Open,OPEN,OPEN,OPEN,OPEN,OPEN,18,OPEN,OPEN,25,OPEN,40,OPEN,OPEN
90,155640,Opening,10,On Pace,18,0,Open,3,6,9,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
91,165888,True Endgame,1,Dead,20,-43,Open,4,0,0,4,0,12,0,26,0,0,40,OPEN,24
92,169591,Midgame,9,Ahead,20,8,Zeroed,OPEN,OPEN,OPEN,20,OPEN,OPEN,OPEN,30,25,OPEN,OPEN,0,OPEN
93,169967,Opening,11,Ahead,20,5,Zeroed,OPEN,OPEN,OPEN,OPEN,20,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
94,169975,Opening,11,Ahead,20,8,Zeroed,OPEN,OPEN,OPEN,20,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
95,172132,Late Game,3,Under Pressure,21,-15,Zeroed,5,4,OPEN,12,0,OPEN,OPEN,24,25,0,0,0,23
96,174080,True Endgame,1,Dead,21,-42,Open,0,4,9,8,0,0,27,22,0,0,0,OPEN,23
97,177869,Midgame,8,Dead,21,-18,Zeroed,OPEN,6,OPEN,OPEN,15,0,OPEN,OPEN,0,OPEN,OPEN,0,OPEN
98,179444,Midgame,8,On Pace,21,0,Open,3,6,OPEN,12,OPEN,OPEN,OPEN,OPEN,25,30,OPEN,OPEN,OPEN
99,179449,Midgame,9,Ahead,21,6,Open,OPEN,6,15,OPEN,OPEN,OPEN,OPEN,OPEN,0,0,OPEN,OPEN,OPEN
100,179981,Midgame,8,Dead,21,-18,Open,OPEN,6,OPEN,OPEN,15,0,23,27,OPEN,OPEN,OPEN,OPEN,OPEN
101,181248,True Endgame,1,Dead,22,-41,Zeroed,4,2,6,0,10,0,0,22,0,30,OPEN,0,22
102,182272,True Endgame,1,Dead,22,-41,Open,0,6,6,0,10,0,0,26,25,30,0,OPEN,15
103,183393,Late Game,5,Dead,22,-20,Open,OPEN,0,3,4,15,OPEN,OPEN,22,0,0,OPEN,OPEN,22
104,184271,Opening,10,Under Pressure,22,-11,Open,OPEN,OPEN,OPEN,OPEN,10,12,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,22
105,184926,Midgame,7,On Pace,22,1,Zeroed,4,OPEN,OPEN,OPEN,OPEN,18,OPEN,30,25,OPEN,40,0,OPEN
106,185239,Midgame,8,Under Pressure,22,-8,Zeroed,OPEN,OPEN,OPEN,16,OPEN,6,0,OPEN,OPEN,OPEN,40,0,OPEN
107,192487,Opening,10,On Pace,23,-4,Open,OPEN,OPEN,OPEN,8,15,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,23
108,194562,Late Game,3,Dead,23,-34,Open,0,OPEN,3,8,0,12,0,18,0,0,0,OPEN,OPEN
109,194628,Late Game,4,Dead,23,-31,Open,3,4,OPEN,4,0,12,OPEN,0,0,0,0,OPEN,OPEN
110,196642,True Endgame,2,Under Pressure,24,-15,Zeroed,3,OPEN,9,12,0,OPEN,25,0,0,0,0,0,28
111,202719,Opening,11,Ahead,24,6,Zeroed,OPEN,OPEN,OPEN,OPEN,OPEN,24,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
112,202920,Late Game,5,Under Pressure,24,-9,Open,1,8,15,OPEN,0,OPEN,0,OPEN,25,30,40,OPEN,OPEN
113,206884,Late Game,3,Under Pressure,25,-11,Open,0,10,OPEN,0,15,OPEN,18,0,0,30,0,OPEN,28
114,208128,Late Game,3,Dead,25,-38,Open,4,0,9,12,0,0,18,0,OPEN,30,OPEN,OPEN,24
115,213216,Late Game,3,Dead,26,-19,Zeroed,3,6,0,12,5,OPEN,OPEN,OPEN,25,0,40,0,25
116,213636,Late Game,3,Dead,26,-28,Zeroed,4,6,OPEN,4,0,12,24,OPEN,0,OPEN,40,0,15
117,215460,Late Game,5,Under Pressure,26,-10,Open,4,6,OPEN,16,0,OPEN,0,OPEN,OPEN,0,0,OPEN,26
118,216081,Late Game,4,Dead,26,-19,Open,OPEN,4,6,16,OPEN,0,0,0,0,30,OPEN,OPEN,29
119,219682,Late Game,5,Under Pressure,26,-13,Open,3,OPEN,9,4,10,OPEN,26,28,25,OPEN,40,OPEN,OPEN
120,219793,Midgame,6,Dead,26,-19,Open,OPEN,2,6,0,OPEN,18,28,OPEN,0,OPEN,0,OPEN,OPEN
121,221026,Midgame,8,Under Pressure,26,-13,Open,4,OPEN,12,0,10,OPEN,OPEN,0,OPEN,OPEN,OPEN,OPEN,OPEN
122,221528,Late Game,4,Under Pressure,27,-9,Zeroed,0,0,15,OPEN,OPEN,12,OPEN,0,OPEN,30,40,0,25
123,222543,Midgame,7,Under Pressure,27,-6,Zeroed,OPEN,OPEN,OPEN,OPEN,15,12,OPEN,28,OPEN,30,OPEN,0,23
124,225769,Midgame,7,On Pace,27,-3,Zeroed,OPEN,6,6,OPEN,15,OPEN,OPEN,OPEN,OPEN,30,40,0,OPEN
125,225880,Late Game,5,Under Pressure,27,-9,Zeroed,4,8,9,OPEN,OPEN,6,OPEN,30,0,OPEN,0,0,OPEN
126,228330,Midgame,9,On Pace,27,0,Open,3,OPEN,9,OPEN,15,OPEN,OPEN,OPEN,OPEN,OPEN,40,OPEN,OPEN
127,228839,Opening,10,On Pace,27,0,Open,OPEN,OPEN,OPEN,12,15,OPEN,OPEN,OPEN,OPEN,30,OPEN,OPEN,OPEN
128,229714,Late Game,4,Under Pressure,28,-14,Zeroed,5,OPEN,9,8,OPEN,6,OPEN,26,OPEN,30,0,0,17
129,231424,True Endgame,1,Dead,28,-35,Open,1,4,9,4,10,0,0,20,0,30,0,OPEN,25
130,232140,Midgame,6,Under Pressure,28,-14,Open,2,4,OPEN,OPEN,10,12,OPEN,OPEN,25,OPEN,0,OPEN,17
131,236495,Opening,10,Under Pressure,28,-5,Open,OPEN,OPEN,OPEN,OPEN,10,18,OPEN,OPEN,OPEN,OPEN,40,OPEN,OPEN
132,239616,True Endgame,1,Dead,29,-34,Open,1,6,6,0,10,6,0,0,0,0,40,OPEN,24
133,241174,Midgame,6,On Pace,29,-4,Open,3,OPEN,OPEN,8,OPEN,18,20,0,25,OPEN,OPEN,OPEN,22
134,241713,Late Game,4,On Pace,29,2,Zeroed,OPEN,4,9,16,OPEN,OPEN,0,18,0,30,40,0,OPEN
135,243658,Midgame,8,Dead,29,-16,Zeroed,2,OPEN,9,OPEN,0,18,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
136,246129,Late Game,5,On Pace,30,3,Zeroed,OPEN,6,12,12,OPEN,OPEN,OPEN,0,OPEN,0,0,0,23
137,246425,Late Game,5,On Pace,30,-3,Zeroed,OPEN,6,0,OPEN,OPEN,24,15,OPEN,25,OPEN,40,0,27
138,248095,Midgame,7,Ahead,30,12,Open,OPEN,OPEN,OPEN,OPEN,OPEN,30,25,27,OPEN,30,40,OPEN,25
139,249610,Midgame,6,Dead,30,-15,Open,3,OPEN,9,OPEN,0,18,28,0,OPEN,OPEN,OPEN,OPEN,24
140,249840,Midgame,8,On Pace,30,0,Open,3,6,9,12,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,22
141,249963,Midgame,6,Ahead,30,6,Zeroed,OPEN,OPEN,15,OPEN,15,OPEN,OPEN,24,0,30,40,0,OPEN
142,251871,Opening,11,Ahead,30,12,Zeroed,OPEN,OPEN,OPEN,OPEN,OPEN,30,OPEN,OPEN,OPEN,OPEN,OPEN,0,OPEN
143,253936,Midgame,9,On Pace,30,0,Open,3,6,9,12,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN
144,263206,Late Game,4,On Pace,32,2,Zeroed,5,OPEN,OPEN,12,15,OPEN,20,0,25,0,OPEN,0,12
145,264192,True Endgame,1,Dead,32,-31,Open,2,8,0,12,10,0,27,30,0,30,40,OPEN,12
146,264227,Late Game,4,On Pace,32,-4,Open,OPEN,OPEN,0,12,20,OPEN,24,20,0,30,40,OPEN,24
147,268019,Midgame,9,Ahead,32,11,Zeroed,OPEN,OPEN,12,20,OPEN,OPEN,OPEN,OPEN,25,OPEN,OPEN,0,OPEN
148,268039,Midgame,7,Dead,32,-13,Zeroed,OPEN,OPEN,OPEN,16,10,6,28,30,OPEN,OPEN,OPEN,0,OPEN
149,269777,Midgame,8,Dead,32,-13,Open,OPEN,0,6,8,OPEN,18,OPEN,OPEN,OPEN,30,OPEN,OPEN,OPEN
150,270368,True Endgame,1,Under Pressure,33,-12,Zeroed,5,2,0,16,10,OPEN,24,30,0,0,40,0,17
151,270610,Late Game,3,Under Pressure,33,-9,Zeroed,1,OPEN,0,8,OPEN,24,0,0,OPEN,30,40,0,26
152,274127,Midgame,9,On Pace,33,0,Open,OPEN,OPEN,OPEN,OPEN,15,18,OPEN,OPEN,25,OPEN,OPEN,OPEN,23
153,274383,Opening,10,On Pace,33,0,Open,OPEN,OPEN,OPEN,OPEN,15,18,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,24
154,275656,Late Game,5,Dead,33,-18,Zeroed,0,6,0,OPEN,15,12,OPEN,OPEN,0,0,OPEN,0,OPEN
155,279564,Late Game,3,Under Pressure,34,-8,Zeroed,4,6,OPEN,OPEN,0,24,20,0,25,30,OPEN,0,27
156,279984,Late Game,5,On Pace,34,4,Zeroed,3,4,15,12,OPEN,OPEN,0,OPEN,OPEN,0,OPEN,0,18
157,280608,True Endgame,2,Under Pressure,34,-11,Open,0,2,9,8,15,OPEN,0,25,0,0,40,OPEN,15
158,281635,Late Game,5,On Pace,34,-2,Open,OPEN,OPEN,12,12,10,OPEN,0,0,0,0,OPEN,OPEN,25
159,283689,Late Game,5,On Pace,34,4,Zeroed,OPEN,8,6,OPEN,20,OPEN,0,25,0,0,OPEN,0,OPEN
160,284976,Late Game,5,On Pace,34,4,Open,4,6,12,12,OPEN,OPEN,18,0,OPEN,0,0,OPEN,OPEN
161,285696,Late Game,3,Dead,34,-29,Open,3,8,6,12,5,0,0,0,0,0,OPEN,OPEN,OPEN
162,289312,Late Game,3,Under Pressure,35,-10,Open,4,0,9,12,10,OPEN,0,30,0,OPEN,0,OPEN,24
163,293088,Late Game,5,Under Pressure,35,-10,Open,3,6,0,16,10,OPEN,OPEN,OPEN,25,0,0,OPEN,OPEN
164,294944,True Endgame,1,Under Pressure,36,-9,Zeroed,1,8,0,12,15,OPEN,0,18,0,0,0,0,25
165,295175,Late Game,4,Under Pressure,36,-9,Zeroed,OPEN,OPEN,OPEN,8,10,18,22,28,OPEN,0,0,0,28
166,297123,Late Game,5,On Pace,36,0,Open,OPEN,OPEN,9,12,15,OPEN,22,OPEN,25,30,40,OPEN,23
167,305152,True Endgame,1,Dead,37,-26,Open,2,0,6,4,25,0,0,0,25,30,40,OPEN,18
168,309408,Late Game,4,Under Pressure,37,-8,Open,3,10,0,4,20,OPEN,0,OPEN,0,30,0,OPEN,OPEN
169,311312,True Endgame,1,Under Pressure,38,-10,Zeroed,4,10,0,0,OPEN,24,25,0,0,30,0,0,15
170,311328,True Endgame,1,Under Pressure,38,-7,Zeroed,1,8,12,12,5,OPEN,0,22,0,30,40,0,28
171,312015,Midgame,7,Ahead,38,5,Zeroed,OPEN,OPEN,OPEN,OPEN,20,18,OPEN,OPEN,0,OPEN,40,0,28
172,312657,Late Game,5,Under Pressure,38,-7,Zeroed,OPEN,0,6,8,OPEN,24,OPEN,0,OPEN,30,OPEN,0,21
173,313344,True Endgame,1,Dead,38,-25,Open,3,0,12,0,5,18,26,0,25,0,40,OPEN,17
174,313376,True Endgame,2,Under Pressure,38,-7,Open,4,2,9,8,15,OPEN,21,24,0,0,0,OPEN,12
175,313988,Late Game,4,Dead,38,-16,Open,2,4,OPEN,20,0,12,24,OPEN,25,OPEN,0,OPEN,24
176,315524,Late Game,3,Dead,38,-16,Zeroed,3,0,OPEN,8,15,12,30,OPEN,0,30,0,0,OPEN
177,316256,Late Game,5,Under Pressure,38,-7,Zeroed,3,4,0,16,15,OPEN,OPEN,30,OPEN,OPEN,40,0,OPEN
178,318705,Midgame,8,Ahead,38,11,Open,OPEN,6,12,20,OPEN,OPEN,OPEN,OPEN,25,0,OPEN,OPEN,OPEN
179,318749,Midgame,8,Ahead,38,14,Open,OPEN,8,OPEN,OPEN,OPEN,30,22,22,OPEN,0,OPEN,OPEN,OPEN
180,319504,True Endgame,1,Under Pressure,39,-9,Zeroed,5,6,12,16,OPEN,0,0,0,25,30,0,0,17
181,319760,True Endgame,2,Under Pressure,39,-9,Zeroed,1,6,0,8,OPEN,24,15,18,OPEN,0,40,0,25
182,321536,True Endgame,1,Dead,39,-24,Open,0,2,9,0,10,18,0,0,0,0,40,OPEN,15
183,321568,True Endgame,2,Under Pressure,39,-6,Open,4,8,9,8,10,OPEN,18,0,25,0,40,OPEN,27
184,322912,Late Game,5,Under Pressure,39,-6,Open,3,8,9,4,15,OPEN,OPEN,27,OPEN,30,OPEN,OPEN,15
185,326614,Midgame,9,Ahead,39,6,Open,5,OPEN,OPEN,16,OPEN,18,OPEN,OPEN,OPEN,OPEN,40,OPEN,OPEN
186,328588,Late Game,5,On Pace,40,-2,Zeroed,2,6,OPEN,OPEN,20,12,23,OPEN,OPEN,OPEN,0,0,21
187,328916,Late Game,5,On Pace,40,1,Zeroed,0,6,OPEN,16,OPEN,18,OPEN,OPEN,0,0,OPEN,0,26
188,329475,Late Game,5,Dead,40,-14,Zeroed,OPEN,OPEN,9,16,15,0,30,30,OPEN,OPEN,OPEN,0,22
189,329568,Late Game,5,Under Pressure,40,-5,Zeroed,5,4,12,4,15,OPEN,OPEN,0,OPEN,OPEN,OPEN,0,27
190,329744,True Endgame,2,Under Pressure,40,-8,Open,2,6,12,8,OPEN,12,0,24,0,0,40,OPEN,21
